"","University of Chicago","University of Michigan-Ann Arbor","Northwestern University","University of Illinois at Urbana-Champaign","Purdue University","University of Wisconsin-Madison","Michigan State University","The Ohio State University","Washington University in St. Louis","University of Minnesota Twin Cities","Case Western Reserve University","Vanderbilt University","University of Notre Dame","Indiana University Bloomington","University of Illinois at Chicago (UIC)","Iowa State University","Illinois Institute of Technology","Missouri University of Science and Technology","University of Iowa","University of Missouri, Columbia","University of Kentucky","University of Cincinnati","Wayne State University","Michigan Technological University","Loyola University Chicago","Saint Louis University","Indiana University–Purdue University Indianapolis","Kent State University","Ohio University","University of Louisville College of Business","University of Toledo","University of Wisconsin Milwaukee ","Western Michigan University","Central Michigan University","Cleveland State University","Indiana State University","Marquette University","Miami University","University of Memphis","University of Missouri Saint Louis","Illinois State University"
"University of Wisconsin Milwaukee ","103 mi","336 mi","83.4 mi","229 mi","223 mi","83.8 mi","316 mi","459 mi","384 mi","338 mi","442 mi","573 mi","191 mi","332 mi","96.1 mi","358 mi","98.6 mi","482 mi","270 mi","466 mi","470 mi","394 mi","375 mi","323 mi","89.1 mi","379 mi","283 mi","462 mi","532 mi","400 mi","334 mi",NA,"250 mi","364 mi","450 mi","279 mi","5.2 mi","384 mi","634 mi","385 mi","212 mi"
"Western Michigan University","139 mi","100 mi","160 mi","247 mi","201 mi","297 mi","80.8 mi","272 mi","420 mi","556 mi","263 mi","514 mi","85.1 mi","279 mi","145 mi","478 mi","143 mi","519 mi","354 mi","503 mi","386 mi","302 mi","139 mi","551 mi","156 mi","415 mi","231 mi","283 mi","351 mi","341 mi","150 mi","250 mi",NA,"136 mi","260 mi","274 mi","236 mi","255 mi","651 mi","423 mi","250 mi"
"Central Michigan University","254 mi","130 mi","275 mi","362 mi","315 mi","411 mi","69.2 mi","314 mi","535 mi","670 mi","300 mi","608 mi","199 mi","373 mi","260 mi","592 mi","257 mi","633 mi","468 mi","617 mi","462 mi","378 mi","153 mi","425 mi","270 mi","530 mi","324 mi","320 mi","397 mi","435 mi","181 mi","364 mi","136 mi",NA,"298 mi","399 mi","351 mi","332 mi","767 mi","538 mi","365 mi"
"Cleveland State University","338 mi","169 mi","359 mi","438 mi","321 mi","497 mi","233 mi","142 mi","566 mi","756 mi","3.8 mi","523 mi","258 mi","366 mi","345 mi","678 mi","342 mi","664 mi","554 mi","676 mi","333 mi","248 mi","170 mi","705 mi","355 mi","561 mi","317 mi","39.3 mi","218 mi","351 mi","120 mi","450 mi","260 mi","298 mi",NA,"393 mi","435 mi","260 mi","724 mi","567 mi","450 mi"
"Indiana State University","176 mi","343 mi","195 mi","90.2 mi","93.4 mi","339 mi","336 mi","255 mi","176 mi","598 mi","396 mi","263 mi","222 mi","59.6 mi","180 mi","457 mi","177 mi","274 mi","333 mi","286 mi","259 mi","183 mi","365 mi","597 mi","190 mi","171 mi","77.7 mi","388 mi","329 mi","189 mi","302 mi","279 mi","274 mi","399 mi","393 mi",NA,"275 mi","165 mi","399 mi","178 mi","141 mi"
"Marquette University","98.5 mi","331 mi","79.0 mi","225 mi","219 mi","79.4 mi","312 mi","454 mi","379 mi","334 mi","438 mi","569 mi","186 mi","328 mi","91.8 mi","354 mi","94.2 mi","478 mi","265 mi","462 mi","466 mi","389 mi","371 mi","324 mi","84.7 mi","374 mi","278 mi","457 mi","528 mi","396 mi","329 mi","5.2 mi","236 mi","351 mi","435 mi","275 mi",NA,"380 mi","630 mi","381 mi","208 mi"
"Miami University","276 mi","241 mi","297 mi","214 mi","166 mi","431 mi","269 mi","122 mi","337 mi","690 mi","263 mi","313 mi","237 mi","135 mi","283 mi","581 mi","280 mi","435 mi","457 mi","447 mi","122 mi","37.7 mi","255 mi","702 mi","293 mi","331 mi","103 mi","255 mi","166 mi","141 mi","198 mi","384 mi","255 mi","332 mi","260 mi","165 mi","380 mi",NA,"513 mi","338 mi","265 mi"
"University of Memphis","536 mi","723 mi","555 mi","405 mi","499 mi","650 mi","728 mi","585 mi","295 mi","812 mi","727 mi","204 mi","603 mi","408 mi","540 mi","657 mi","537 mi","281 mi","537 mi","402 mi","416 mi","478 mi","737 mi","952 mi","550 mi","293 mi","473 mi","719 mi","625 mi","374 mi","680 mi","634 mi","651 mi","767 mi","724 mi","399 mi","630 mi","513 mi",NA,"303 mi","458 mi"
"University of Missouri Saint Louis","307 mi","518 mi","320 mi","184 mi","278 mi","369 mi","499 mi","429 mi","9.9 mi","527 mi","570 mi","319 mi","374 mi","234 mi","304 mi","372 mi","304 mi","114 mi","252 mi","116 mi","344 mi","357 mi","539 mi","687 mi","315 mi","14.8 mi","252 mi","562 mi","503 mi","273 mi","476 mi","385 mi","423 mi","538 mi","567 mi","178 mi","381 mi","338 mi","303 mi",NA,"177 mi"
"Illinois State University","134 mi","345 mi","147 mi","55.7 mi","115 mi","197 mi","326 mi","349 mi","175 mi","456 mi","452 mi","428 mi","201 mi","219 mi","131 mi","317 mi","131 mi","273 mi","193 mi","257 mi","360 mi","283 mi","384 mi","515 mi","142 mi","170 mi","170 mi","472 mi","423 mi","290 mi","344 mi","212 mi","250 mi","365 mi","450 mi","141 mi","208 mi","265 mi","458 mi","177 mi",NA
